Tab,Colony,Bird,Day,Month,Year,Hour,Minute,Second,a,Satellites,Lat,Long,Height,b,Accuracy,Battery
1,Oronsay,12656,15,6,14,0,8,20,500.258,6,56.061836,-6.197005,69,-153.717,1.21E-06,3.71
2,Oronsay,12656,15,6,14,0,48,25,2905.924,5,56.061777,-6.194967,57,-154.091,6.47E-07,3.71
3,Oronsay,12656,15,6,14,1,28,20,5300.561,6,56.060971,-6.195261,62,-154.444,1.89E-06,3.71
4,Oronsay,12656,15,6,14,2,8,19,7699.187,6,56.056489,-6.189686,51,-154.803,5.73E-07,3.71
5,Oronsay,12656,15,6,14,2,48,21,10101.789,7,56.065947,-6.19278,140,-155.192,6.46E-06,3.71
6,Oronsay,12656,15,6,14,3,28,19,12499.48,6,56.063516,-6.191871,41,-155.56,4.49E-06,3.71
7,Oronsay,12656,15,6,14,4,8,19,14899.071,6,56.051079,-6.19577,115,-155.909,3.97E-06,3.71
8,Oronsay,12656,15,6,14,4,48,19,17299.743,6,56.026007,-6.21554,59,-156.267,2.45E-06,3.71
9,Oronsay,12656,15,6,14,5,28,17,19697.384,6,56.026114,-6.215972,104,-156.616,5.53E-06,3.71
10,Oronsay,12656,15,6,14,6,8,17,22097.016,6,56.026288,-6.215763,54,-156.974,6.26E-06,3.71
11,Oronsay,12656,15,6,14,6,48,17,24497.647,5,56.040789,-6.188595,-28,-157.348,1.68E-06,3.71
12,Oronsay,12656,15,6,14,7,28,16,26896.234,5,56.026112,-6.12588,23,-157.746,4.63E-06,3.71
13,Oronsay,12656,15,6,14,8,8,20,29300.915,5,56.026481,-6.215406,122,-158.125,9.58E-07,3.75
14,Oronsay,12656,15,6,14,8,47,54,31674.627,6,56.026056,-6.21571,48,-158.419,9.34E-07,3.73
15,Oronsay,12656,15,6,14,9,27,42,34062.233,5,56.026014,-6.215887,48,-158.717,5.41E-07,3.73
16,Oronsay,12656,15,6,14,10,7,41,36461.934,6,56.026241,-6.215564,44,-159.066,4.72E-06,3.73
17,Oronsay,12656,15,6,14,10,47,43,38863.566,8,56.046847,-6.187316,92,-159.424,7.84E-06,3.73
18,Oronsay,12656,15,6,14,11,27,40,41260.247,6,56.05786,-6.190364,56,-159.773,3.01E-06,3.73
19,Oronsay,12656,15,6,14,12,7,41,43661.899,6,56.06748,-6.182022,63,-160.101,1.36E-06,3.75
20,Oronsay,12656,15,6,14,12,47,44,46064.54,5,56.077536,-6.168865,63,-160.445,6.66E-07,3.75
21,Oronsay,12656,15,6,14,13,27,38,48458.247,6,56.067554,-6.181136,66,-160.778,3.07E-06,3.75
22,Oronsay,12656,15,6,14,14,7,43,50863.923,5,56.07663,-6.168994,66,-161.082,5.97E-07,3.75
23,Oronsay,12656,15,6,14,14,47,43,53263.529,5,56.025957,-6.215656,86,-161.426,3.98E-07,3.75
24,Oronsay,12656,15,6,14,15,27,41,55661.186,6,56.02629,-6.215914,89,-161.814,4.10E-06,3.75
25,Oronsay,12656,15,6,14,16,7,31,58051.857,6,56.026227,-6.215822,83,-162.173,4.54E-06,3.75
26,Oronsay,12656,15,6,14,16,47,36,60456.519,5,56.026102,-6.215748,82,-162.491,3.48E-07,3.75
27,Oronsay,12656,15,6,14,17,27,30,62850.18,6,56.039869,-6.174385,45,-162.81,5.06E-06,3.75
28,Oronsay,12656,15,6,14,18,7,35,65255.872,6,56.026465,-6.215408,135,-163.133,4.01E-06,3.75
29,Oronsay,12656,15,6,14,18,47,33,67653.438,6,56.026089,-6.215707,47,-163.507,1.90E-06,3.75
30,Oronsay,12656,15,6,14,19,27,29,70049.105,6,56.026223,-6.21552,62,-163.915,1.49E-06,3.75
31,Oronsay,12656,15,6,14,20,7,31,72451.736,9,56.026142,-6.215716,80,-164.284,3.30E-06,3.75
