Tab,Colony,Bird,Day,Month,Year,Hour,Minute,Second,a,Satellites,Lat,Long,Height,b,Accuracy,Battery
1,Pladda,12605,1,6,14,13,49,1,49741.19,6,55.426037,-5.116041,30,9999.999,2.09E-06,4.08
2,Pladda,12605,1,6,14,14,8,55,50935.02,7,55.425964,-5.115926,43,-7.895,3.05E-06,4.08
3,Pladda,12605,1,6,14,14,28,56,52136.825,9,55.426017,-5.115943,52,-8.07,4.67E-06,4.08
4,Pladda,12605,1,6,14,14,48,54,53334.62,5,55.425968,-5.115921,26,-8.365,1.18E-06,4.08
5,Pladda,12605,1,6,14,15,8,59,54539.435,6,55.42818,-5.118553,58,-8.62,9.63E-07,4.08
6,Pladda,12605,1,6,14,15,28,54,55734.25,6,55.42803,-5.118503,24,-8.785,3.18E-06,4.08
7,Pladda,12605,1,6,14,15,48,54,56934.015,6,55.428195,-5.118642,70,-8.95,2.91E-06,4.06
8,Pladda,12605,1,6,14,16,8,56,58136.8,6,55.427947,-5.119037,75,-9.175,1.34E-06,4.06
9,Pladda,12605,1,6,14,16,28,53,59333.615,6,55.428277,-5.11831,79,-9.405,3.35E-06,4.08
10,Pladda,12605,1,6,14,16,49,8,60548.405,6,55.450508,-5.135342,149,-9.605,5.07E-06,4.08
11,Pladda,12605,1,6,14,17,8,59,61739.205,5,55.45072,-5.136131,163,-9.795,1.27E-06,4.08
12,Pladda,12605,1,6,14,17,28,53,62933.015,6,55.445636,-5.140218,142,-9.985,1.48E-06,4.08
13,Pladda,12605,1,6,14,17,48,57,64137.805,8,55.44194,-5.149738,71,-10.185,3.61E-06,4.06
14,Pladda,12605,1,6,14,18,8,52,65332.595,7,55.448125,-5.174665,167,-10.4,9.54E-06,4.06
15,Pladda,12605,1,6,14,18,28,54,66534.38,6,55.446422,-5.173281,101,-10.62,4.17E-06,4.06
16,Pladda,12605,1,6,14,18,48,57,67737.21,9,55.44556,-5.166566,157,-10.815,3.25E-06,4.06
17,Pladda,12605,1,6,14,19,8,54,68934.055,6,55.448103,-5.174549,215,-10.965,1.15E-06,4.06
18,Pladda,12605,1,6,14,19,28,55,70135.795,7,55.447016,-5.175071,142,-11.15,1.48E-06,4.06
19,Pladda,12605,1,6,14,19,48,55,71335.59,10,55.44312,-5.185945,194,-11.4,5.55E-06,4.06
20,Pladda,12605,1,6,14,20,8,51,72531.38,6,55.440931,-5.21332,106,-11.64,9.97E-07,4.06
21,Pladda,12605,1,6,14,20,28,51,73731.2,8,55.437469,-5.237445,55,-11.83,2.20E-06,4.06
22,Pladda,12605,1,6,14,20,48,51,74932,7,55.447995,-5.242103,115,-11.995,6.94E-07,4.06
23,Pladda,12605,1,6,14,21,8,52,76132.805,7,55.447793,-5.242366,101,-12.18,1.75E-06,4.06
24,Pladda,12605,1,6,14,21,28,52,77332.6,9,55.439025,-5.22835,88,-12.39,5.23E-06,4.06
25,Pladda,12605,1,6,14,21,48,52,78532.4,7,55.439278,-5.182416,178,-12.605,3.58E-06,4.06
26,Pladda,12605,1,6,14,22,8,52,79732.195,8,55.430555,-5.135371,79,-12.81,6.83E-06,4.06
27,Pladda,12605,1,6,14,22,28,52,80932.01,6,55.428221,-5.118483,64,-13,1.58E-06,4.06
28,Pladda,12605,1,6,14,22,48,54,82134.79,10,55.428164,-5.118619,74,-13.195,4.43E-06,4.06
29,Pladda,12605,1,6,14,23,8,56,83336.585,7,55.425824,-5.120661,44,-13.41,2.67E-06,4.06
30,Pladda,12605,1,6,14,23,28,51,84531.38,6,55.426058,-5.116415,54,-13.625,1.42E-06,4.06
31,Pladda,12605,1,6,14,23,48,51,85731.185,7,55.426475,-5.118353,52,-13.825,2.00E-06,4.06
32,Pladda,12605,2,6,14,0,8,54,534.985,8,55.426438,-5.118279,62,-14.015,2.88E-06,4.06
33,Pladda,12605,2,6,14,0,28,55,1735.795,8,55.426564,-5.116528,58,-14.205,1.55E-06,4.04
34,Pladda,12605,2,6,14,0,48,50,2930.605,5,55.426442,-5.116217,78,-14.395,9.05E-07,4.04
35,Pladda,12605,2,6,14,1,8,50,4130.395,6,55.426454,-5.118318,73,-14.595,1.65E-06,4.04
36,Pladda,12605,2,6,14,1,28,52,5332.195,9,55.426432,-5.118205,80,-14.805,3.86E-06,4.04
37,Pladda,12605,2,6,14,1,48,51,6531.995,10,55.426428,-5.118217,82,-15.01,3.41E-06,4.04
38,Pladda,12605,2,6,14,2,8,49,7729.78,7,55.426303,-5.118825,95,-15.215,3.29E-06,4.04
39,Pladda,12605,2,6,14,2,28,53,8933.575,9,55.44324,-5.249477,98,-15.425,3.35E-06,4.04
40,Pladda,12605,2,6,14,2,48,49,10129.375,7,55.458705,-5.271191,128,-15.63,5.63E-06,4.04
41,Pladda,12605,2,6,14,3,8,52,11332.18,9,55.45776,-5.27043,129,-15.825,9.52E-06,4.04
42,Pladda,12605,2,6,14,3,28,48,12528.985,6,55.459547,-5.270935,152,-16.015,4.23E-06,4.04
43,Pladda,12605,2,6,14,3,48,48,13728.775,8,55.460608,-5.289316,86,-16.215,6.45E-06,4.04
44,Pladda,12605,2,6,14,4,8,51,14931.595,7,55.460285,-5.289083,89,-16.415,6.62E-06,4.04
45,Pladda,12605,2,6,14,4,28,53,16133.385,10,55.460159,-5.292247,72,-16.61,6.36E-06,4.02
46,Pladda,12605,2,6,14,4,48,48,17328.15,6,55.455887,-5.280577,104,-16.83,2.07E-06,4.04
47,Pladda,12605,2,6,14,5,8,47,18527.98,7,55.447425,-5.266409,60,-17.045,1.09E-06,4.02
48,Pladda,12605,2,6,14,5,28,47,19727.775,7,55.435255,-5.198487,159,-17.23,6.07E-06,4.02
49,Pladda,12605,2,6,14,5,48,47,20927.58,6,55.427738,-5.118069,60,-17.415,6.43E-07,4.02
50,Pladda,12605,2,6,14,6,8,51,22131.375,7,55.427802,-5.118874,40,-17.615,7.92E-06,4.02
51,Pladda,12605,2,6,14,6,28,51,23331.185,8,55.42781,-5.118983,55,-17.82,8.25E-06,4.02
52,Pladda,12605,2,6,14,6,48,50,24530.98,6,55.427721,-5.118684,60,-18.02,8.30E-07,4
53,Pladda,12605,2,6,14,7,8,54,25734.78,5,55.427848,-5.118844,60,-18.22,1.35E-06,4
54,Pladda,12605,2,6,14,7,28,53,26933.57,7,55.428,-5.118897,67,-18.425,3.19E-06,4.02
55,Pladda,12605,2,6,14,7,48,56,28136.275,5,55.428512,-5.119826,142,-18.68,9.14E-07,4.02
56,Pladda,12605,2,6,14,8,8,53,29333.16,8,55.427882,-5.118817,72,-18.91,3.13E-06,4
57,Pladda,12605,2,6,14,8,28,50,30530.95,6,55.427807,-5.118846,69,-19.06,3.71E-06,4
58,Pladda,12605,2,6,14,8,48,52,31732.77,9,55.427778,-5.11877,53,-19.215,2.37E-06,4
59,Pladda,12605,2,6,14,9,8,53,32933.575,7,55.427334,-5.11892,-11,-19.405,3.20E-06,4
60,Pladda,12605,2,6,14,9,28,53,34133.415,6,55.428069,-5.118726,88,-19.6,5.56E-06,4
61,Pladda,12605,2,6,14,9,48,55,35335.18,7,55.427875,-5.118858,74,-19.8,2.10E-06,4
