"","trip","Tab","Colony","Bird","Day","Month","Year","Hour","Minute","Second","a","Satellites","Lat","Long","Height","b","Accuracy","Battery","date_time","distance","interval","angle","speed","bird_id","colony","trip_id","start_time","end_time","nest_attendance","trip_duration","max_dist","dest_lat","dest_long","departing_angle","dest_angle","max_speed"
"1",0,1,"Pladda",12605,1,6,14,13,49,1,49741.19,6,55.426037,-5.116041,30,9999.999,2.09e-06,4.08,2014-06-01 13:49:01,0.268181797453563,NA,138.142792307994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",0,2,"Pladda",12605,1,6,14,14,8,55,50935.02,7,55.425964,-5.115926,43,-7.895,3.05e-06,4.08,2014-06-01 14:08:55,0.279092833194309,1194,-10.3378705869913,0.00913822088839692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",0,3,"Pladda",12605,1,6,14,14,28,56,52136.825,9,55.426017,-5.115943,52,-8.07,4.67e-06,4.08,2014-06-01 14:28:56,0.273961734471987,1201,165.676390607368,0.00427235530584646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",0,4,"Pladda",12605,1,6,14,14,48,54,53334.62,5,55.425968,-5.115921,26,-8.365,1.18e-06,4.08,2014-06-01 14:48:54,0.278966839713189,1198,-34.0837362992078,0.0041778841746261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",0,5,"Pladda",12605,1,6,14,15,8,59,54539.435,6,55.42818,-5.118553,58,-8.62,9.63e-07,4.08,2014-06-01 15:08:59,0.0407105506854093,1205,169.266506931818,0.197723061433842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",0,6,"Pladda",12605,1,6,14,15,28,54,55734.25,6,55.42803,-5.118503,24,-8.785,3.18e-06,4.08,2014-06-01 15:28:54,0.0288130836143734,1195,-25.5972704707865,0.0099560393899882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",0,7,"Pladda",12605,1,6,14,15,48,54,56934.015,6,55.428195,-5.118642,70,-8.95,2.91e-06,4.06,2014-06-01 15:48:54,0.0402115074516967,1200,-137.831210254592,0.00949868653110281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",0,8,"Pladda",12605,1,6,14,16,8,56,58136.8,6,55.427947,-5.119037,75,-9.175,1.34e-06,4.06,2014-06-01 16:08:56,0.0169815794514139,1202,51.4024092456719,0.0193260632281887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",0,9,"Pladda",12605,1,6,14,16,28,53,59333.615,6,55.428277,-5.11831,79,-9.405,3.35e-06,4.08,2014-06-01 16:28:53,0.0578253467367332,1197,-23.5287719264855,0.0341217771807179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420",1,10,"Pladda",12605,1,6,14,16,49,8,60548.405,6,55.450508,-5.135342,149,-9.605,5.07e-06,4.08,2014-06-01 16:49:08,2.73048960939988,1215,-64.6964783644503,2.19972367297378,12605,"Pladda","1_12605",2014-06-01 16:39:00,2014-06-01 22:18:52,NA,339.858333333333,8.12835072383223,55.447793,-5.242366,-23.5287719264855,-74.4817413696723,2.60981530036146
"426",1,11,"Pladda",12605,1,6,14,17,8,59,61739.205,5,55.45072,-5.136131,163,-9.795,1.27e-06,4.08,2014-06-01 17:08:59,2.77165577177337,1191,-155.441788259099,0.0345643680717813,12605,"Pladda","1_12605",2014-06-01 16:39:00,2014-06-01 22:18:52,NA,339.858333333333,8.12835072383223,55.447793,-5.242366,-23.5287719264855,-74.4817413696723,2.60981530036146
"424",1,12,"Pladda",12605,1,6,14,17,28,53,62933.015,6,55.445636,-5.140218,142,-9.985,1.48e-06,4.08,2014-06-01 17:28:53,2.39870273216993,1194,-124.328315119003,0.312355979567375,12605,"Pladda","1_12605",2014-06-01 16:39:00,2014-06-01 22:18:52,NA,339.858333333333,8.12835072383223,55.447793,-5.242366,-23.5287719264855,-74.4817413696723,2.60981530036146
"416",1,13,"Pladda",12605,1,6,14,17,48,57,64137.805,8,55.44194,-5.149738,71,-10.185,3.61e-06,4.06,2014-06-01 17:48:57,2.50768972754419,1204,-66.4079244106531,0.0905207602776251,12605,"Pladda","1_12605",2014-06-01 16:39:00,2014-06-01 22:18:52,NA,339.858333333333,8.12835072383223,55.447793,-5.242366,-23.5287719264855,-74.4817413696723,2.60981530036146
