Colony;Bird;nest_lat;nest_long
Oronsay;12703;56.016;-6.27
Oronsay;12704;56.0255;-6.2155
Oronsay;12706;56.0255;-6.2155
Oronsay;12656;56.0255;-6.2155
Oronsay;12696;56.0255;-6.2155
Oronsay;12697;56.0255;-6.2155
LadyIsle;12682;55.52724;-4.73453
LadyIsle;12684;55.52724;-4.73453
LadyIsle;12691;55.52724;-4.73453
LadyIsle;12692;55.52724;-4.73453
LadyIsle;12694;55.52724;-4.73453
Islay;12686;55.79516;-6.480308
Islay;12687;55.79516;-6.480308
Islay;12689;55.79516;-6.480308
Pladda;12605;55.42785;-5.11883
Pladda;12667;55.42785;-5.11883
Pladda;12681;55.42785;-5.11883
Pladda;12705;55.42785;-5.11883
