"","bird_id","colony","trip","trip_id","start_time","end_time","nest_attendance","trip_duration","max_dist","dest_lat","dest_long","departing_angle","dest_angle","max_speed"
"16",12656,"Oronsay",16,"16_12656",2014-07-01 02:44:00,2014-07-01 21:43:53,NA,1139.89166666667,6.61926094143054,56.078698,-6.168081,24.2982891992013,26.8535794773809,3.29866384418307
"18",12656,"Oronsay",18,"18_12656",2014-07-03 16:51:31,2014-07-03 21:21:26,NA,269.916666666667,5.99703472175785,56.074707,-6.176366,13.3468666213591,24.3425305604667,2.82661317012078
"19",12656,"Oronsay",19,"19_12656",2014-07-03 21:51:29,2014-07-03 22:51:27,30.0416666666667,59.9666666666667,2.12201819308518,56.01286,-6.240967,-133.537433546208,-133.537433546208,1.13058050251149
"23",12656,"Oronsay",23,"23_12656",2014-07-15 19:06:39,2014-07-15 19:36:40,NA,30.0166666666667,2.63694364679945,56.02165,-6.173773,101.027080778021,101.027080778021,1.41920944694545
"24",12656,"Oronsay",24,"24_12656",2014-07-16 01:36:36,2014-07-16 06:36:38,359.933333333333,300.025,4.73654061489977,56.066058,-6.192571,17.7097330498739,17.9102023456044,2.28103545045213
"25",12656,"Oronsay",25,"25_12656",2014-07-16 12:06:34,2014-07-16 22:36:25,329.941666666667,629.85,6.35190054855525,56.076718,-6.170607,27.8433355090644,26.3949469181692,1.76560927906427
"42",12656,"Oronsay",42,"42_12656",2015-05-10 02:37:11,2015-05-10 21:07:02,NA,1109.85,6.99186334452775,56.08198,-6.166453,15.1189388619255,26.1965714344673,2.46096909257132
"44",12656,"Oronsay",44,"44_12656",2015-05-12 02:36:49,2015-05-12 08:06:44,NA,329.925,6.93417656448927,56.081297,-6.166068,15.3746264147556,27.4509141845404,2.40264089794068
"48",12656,"Oronsay",48,"48_12656",2015-05-15 02:26:08,2015-05-15 21:55:59,NA,1169.85,7.14894634605819,56.083254,-6.165369,26.7089039724839,26.1183742035252,3.79366098585281
"51",12656,"Oronsay",51,"51_12656",2015-05-17 02:35:44,2015-05-17 06:35:42,NA,239.958333333333,5.00235746083916,56.06617,-6.249607,23.3021731509259,-25.9724447393018,1.71923144266459
"52",12656,"Oronsay",52,"52_12656",2015-05-17 07:05:40,2015-05-17 09:35:44,29.975,150.058333333333,0.481532657149656,56.022803,-6.209463,121.305064780895,125.278073672814,0.217585371342948
"53",12656,"Oronsay",53,"53_12656",2015-05-17 10:35:39,2015-05-17 12:05:41,59.925,90.0333333333333,6.0530442560872,56.074816,-6.174622,25.2896821660123,25.2896821660123,3.32933336044745
"54",12656,"Oronsay",54,"54_12656",2015-05-17 15:05:41,2015-05-17 21:35:36,NA,389.925,5.00844965816181,56.066159,-6.249878,-141.114241294678,-25.9714707756154,1.58605997842276
"55",12656,"Oronsay",55,"55_12656",2015-05-18 04:05:33,2015-05-18 05:05:29,389.95,59.925,0.50236415010538,56.02178,-6.210941,122.802726751839,122.802726751839,0.147851909360307
"56",12656,"Oronsay",56,"56_12656",2015-05-18 05:35:28,2015-05-18 06:35:29,29.9916666666667,60.0083333333333,2.76559016882452,56.005914,-6.242771,-145.178437147221,-142.704865274776,1.15955233578343
"57",12656,"Oronsay",57,"57_12656",2015-05-18 07:35:28,2015-05-18 14:35:28,59.9916666666667,419.991666666667,7.41719244755543,56.085635,-6.164281,137.87721026801,25.9547689350309,3.83919730611864
"58",12656,"Oronsay",58,"58_12656",2015-05-18 17:05:23,2015-05-18 17:35:23,149.916666666667,30,2.44812822957155,56.025835,-6.254759,-90.2953005648088,-90.2953005648088,1.33182112565699
"59",12656,"Oronsay",59,"59_12656",2015-05-18 18:05:25,2015-05-18 21:35:21,30.0416666666667,209.933333333333,3.34608526609814,56.052861,-6.193296,24.4473722020938,24.7044473353952,1.78295487016119
"60",12656,"Oronsay",60,"60_12656",2015-05-19 02:35:17,2015-05-19 08:05:12,299.933333333333,329.916666666667,6.50596853914343,56.077489,-6.167839,24.9248477535748,27.5005517957837,1.73709244651774
"61",12656,"Oronsay",61,"61_12656",2015-05-19 09:05:15,2015-05-19 13:35:15,60.0416666666667,270,5.6181572660416,56.071641,-6.179012,26.6998967846841,24.2371524245132,2.04490830018207
"62",12656,"Oronsay",62,"62_12656",2015-05-19 17:05:10,2015-05-19 20:35:10,209.916666666667,210,5.11935300109852,56.067801,-6.183309,23.0009001916008,23.6456536066851,1.70983246559205
"63",12656,"Oronsay",63,"63_12656",2015-05-20 02:35:07,2015-05-20 05:35:04,359.958333333333,179.95,4.15085392128152,56.06214,-6.203214,21.3711887807317,10.6167410949341,1.84440544810681
"64",12656,"Oronsay",64,"64_12656",2015-05-20 06:35:07,2015-05-20 09:35:03,60.05,179.925,7.18395176970787,56.083528,-6.165091,39.2447102303078,26.2928980866645,1.45849305545854
"68",12656,"Oronsay",68,"68_12656",2015-05-21 12:34:34,2015-05-21 22:04:28,NA,569.9,7.08332670395071,56.087976,-6.194065,27.4433482224757,11.0246251040794,3.57927701516553
"71",12656,"Oronsay",71,"71_12656",2015-05-23 02:58:14,2015-05-23 05:28:11,NA,149.95,3.26305763960195,56.053235,-6.198588,19.8674945176549,19.8674945176549,1.76607774312813
"73",12656,"Oronsay",73,"73_12656",2015-05-24 02:56:59,2015-05-24 04:56:56,NA,119.95,4.65391738578849,56.067179,-6.209872,14.7583311667949,4.76085551386716,2.46979984473013
"74",12656,"Oronsay",74,"74_12656",2015-05-24 12:26:39,2015-05-24 21:56:35,449.716666666667,569.933333333333,7.26501792541998,56.084148,-6.164394,7.50524315081528,26.3033429881567,2.31927070751825
"75",12656,"Oronsay",75,"75_12656",2015-05-25 02:26:31,2015-05-25 05:56:27,269.941666666667,209.925,4.54826495015835,56.064836,-6.195821,14.7145183973781,16.0686997181201,2.4671357437754
"76",12656,"Oronsay",76,"76_12656",2015-05-25 09:56:30,2015-05-25 10:26:29,240.058333333333,29.975,0.680686046851668,56.021814,-6.224209,-132.593709019132,-132.593709019132,0.335015740116331
"78",12656,"Oronsay",78,"78_12656",2015-05-25 21:26:20,2015-05-25 21:56:20,NA,30,1.62765001229332,56.013148,-6.201541,149.378743751114,149.378743751114,0.869166589159837
"79",12656,"Oronsay",79,"79_12656",2015-05-26 01:56:21,2015-05-26 05:26:16,240.025,209.916666666667,4.53819361176973,56.065033,-6.197777,37.2926964985838,14.0422313657317,1.51759569774952
